title,field,provider,closing_date,application_links,application_url,detail_page_url,source_page
"Hessequa Local Municipality Bursary South Africa 2025","Accounting","HESSEQUA MUNICIPALITY","","mailto:jaundre@hessequa.gov.za | https://www.hessequa.gov.za/ | mailto: jaundre@hessequa.gov.za","https://www.hessequa.gov.za/","https://www.zabursaries.co.za/government-bursaries-south-africa/hessequa-local-municipality-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"iSimangaliso Wetland Park Bursary South Africa 2026","Accounting; Commerce; Construction & Built Environment; General","ISIMANGALISO","16 February 2026","mailto:nosipho@isimangaliso.com | https://resources.isimangaliso.com/images/files/education/Application%20form_Tertiary%20Edu%20Support%202026.pdf | mailto: nosipho@isimangaliso.com","https://resources.isimangaliso.com/images/files/education/Application%20form_Tertiary%20Edu%20Support%202026.pdf","https://www.zabursaries.co.za/science-bursaries-south-africa/isimangaliso-wetland-park-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"KwaDukuza Municipality Bursary South Africa 2026","Accounting; Construction & Built Environment","KWADUKUZA MUNICIPALITY","23 January 2026","https://www.zabursaries.co.za/government-bursaries-south-africa/kwadukuza-municipality-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/kwadukuza-municipality-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/kwadukuza-municipality-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Land Bank Bursary South Africa 2021 - 2022","Accounting","Land Bank Bursary South Africa 2021 - 2022","31 January 2020","mailto:bursaries@landbank.co.za | https://landbank.co.za/Pages/Bursary-Opportunities.aspx","https://landbank.co.za/Pages/Bursary-Opportunities.aspx","https://www.zabursaries.co.za/science-bursaries-south-africa/land-bank-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Langeberg Municipality Bursary South Africa 2026","Accounting","LANGEBERG MUNICIPALITY","28 November 2025","https://www.zabursaries.co.za/government-bursaries-south-africa/langeberg-municipality-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/langeberg-municipality-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/langeberg-municipality-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"LGSETA Bursary South Africa 2026","Accounting","LGSETA","28 November 2025","https://pulse.lgseta.org.za/Register/BursaryRegistration","https://pulse.lgseta.org.za/Register/BursaryRegistration","https://www.zabursaries.co.za/general-bursaries-south-africa/lgseta-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Limpopo Provincial Treasury Bursary South Africa 2021 - 2022","Accounting","Limpopo Provincial Treasury Bursary South Africa 2021 - 2022","11 January 2019","https://www.zabursaries.co.za/government-bursaries-south-africa/limpopo-provincial-treasury-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/limpopo-provincial-treasury-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/limpopo-provincial-treasury-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Mpumalanga Provincial Government Bursary South Africa 2026","Accounting; Arts; Commerce; Construction & Built Environment; Medical; Science","MPUMALANGA PROVINCIAL GOVERNMENT","","mailto:otprecruitment@mpg.gov.za | https://forms.office.com/pages/responsepage.aspx | https://www.sassagrants.co.za/ | mailto: otprecruitment@mpg.gov.za","https://forms.office.com/pages/responsepage.aspx","https://www.zabursaries.co.za/government-bursaries-south-africa/mpumalanga-provincial-government-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Musina Local Municipality Bursary South Africa 2024","Accounting","MUSINA LOCAL MUNICIPALITY","19 January 2024","https://musina.gov.za/wp-content/uploads/2023/11/Untitled.pdf","https://musina.gov.za/wp-content/uploads/2023/11/Untitled.pdf","https://www.zabursaries.co.za/government-bursaries-south-africa/musina-local-municipality-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Ndwedwe Local Municipality Bursary South Africa 2024","Accounting; Construction & Built Environment","NDWEDWE LOCAL MUNICIPALITY","22 December 2023","https://www.zabursaries.co.za/government-bursaries-south-africa/ndwedwe-local-municipality-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/ndwedwe-local-municipality-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/ndwedwe-local-municipality-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"NUMSA Bursary South Africa 2021 - 2022","Accounting","NUMSA Bursary South Africa 2021 - 2022","","https://www.zabursaries.co.za/general-bursaries-south-africa/numsa-bursary/","https://www.zabursaries.co.za/general-bursaries-south-africa/numsa-bursary/","https://www.zabursaries.co.za/general-bursaries-south-africa/numsa-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Oudtshoorn Municipality Bursary South Africa 2026","Accounting","OUDTSHOORN MUNICIPALITY","","https://www.oudtshoorn.gov.za/wp-content/uploads/2025/10/ADVERTISEMENT-MUNICIPAL-BURSARY-PROGRAMME-2026-APPLICATION-FORM.pdf","https://www.oudtshoorn.gov.za/wp-content/uploads/2025/10/ADVERTISEMENT-MUNICIPAL-BURSARY-PROGRAMME-2026-APPLICATION-FORM.pdf","https://www.zabursaries.co.za/government-bursaries-south-africa/oudtshoorn-municipality-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Overberg District Municipality Bursary South Africa 2023","Accounting","OVERBERG DISTRICT MUNICIPALITY (ODM)","6 February 2023","https://www.zabursaries.co.za/government-bursaries-south-africa/overberg-district-municipality-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/overberg-district-municipality-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/overberg-district-municipality-bursary/","https://www.zabursaries.co.za/accounting-bursaries-south-africa/"
"Allan Gray Orbis Fellowship Bursary South Africa 2027","Arts; General; Law","Allan Gray Orbis Fellowship Bursary South Africa 2027","30 April 2026","https://graymatter.allangrayorbis.org/login/ | https://graymatter.allangrayorbis.org/profiles/registration/ | https://allangrayorbis.org/wp-content/uploads/2026/02/Fellowship-Programme-Application-Form_2026.pdf","https://graymatter.allangrayorbis.org/login/","https://www.zabursaries.co.za/general-bursaries-south-africa/allan-gray-orbis-fellowship-bursary/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"Arts & Culture Trust (ACT) Nyoloha Scholarship South Africa 2027","Arts","Arts & Culture Trust (ACT) Nyoloha Scholarship South Africa 2027","","https://s.w.org/images/core/emoji/17.0.2/72x72/ | https://s.w.org/images/core/emoji/17.0.2/svg/","https://s.w.org/images/core/emoji/17.0.2/72x72/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/arts-culture-trust-act-scholarship/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"Bridgestone Bursary South Africa 2021 - 2022","Arts; Commerce; Law; Medical","Bridgestone Bursary South Africa 2021 - 2022","12 April 2021","mailto:bsaf.HROrgDesign@bridgestone.co.za | mailto: bsaf.HROrgDesign@bridgestone.co.za","https://www.zabursaries.co.za/general-bursaries-south-africa/bridgestone-bursary/","https://www.zabursaries.co.za/general-bursaries-south-africa/bridgestone-bursary/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"Canon Collins Tom Queba and Pegasys Scholarship South Africa 2026","Arts; Education; General","Canon Collins Tom Queba and Pegasys Scholarship South Africa 2026","9 September 2025","https://canoncollins.org/scholarships/tom-queba-scholarships-for-social-change/ | https://canoncollins.ams3.digitaloceanspaces.com/media/2025/08/04141833/Tom-Queba-and-Pegasys-Scholarships-for-Social-Change-Guidelines-for-applicants-2026.pdf","https://canoncollins.org/scholarships/tom-queba-scholarships-for-social-change/","https://www.zabursaries.co.za/mba-postgraduate/canon-collins-tom-queba-scholarship/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"NYDA Solomon Mahlangu Scholarship Fund South Africa 2021 - 2022","Arts","NYDA Solomon Mahlangu Scholarship Fund South Africa 2021 - 2022","28 February 2020","https://www.zabursaries.co.za/general-bursaries-south-africa/nyda-solomon-mahlangu-scholarship-fund/","https://www.zabursaries.co.za/general-bursaries-south-africa/nyda-solomon-mahlangu-scholarship-fund/","https://www.zabursaries.co.za/general-bursaries-south-africa/nyda-solomon-mahlangu-scholarship-fund/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"Absa Fellowship Programme South Africa 2026","Arts; Computer Science & IT; Construction & Built Environment; Engineering","Absa Fellowship Programme South Africa 2026","10 September 2025","mailto:Absafellowship@fundi.co.za | https://absa-bsp.fundi.co.za/ | https://www.absa.africa/wp-content/uploads/2025/08/2025-25353-Absa-Fellowship-Programme-FAQ-2026.pdf","https://absa-bsp.fundi.co.za/","https://www.zabursaries.co.za/general-bursaries-south-africa/absa-fellowship-scholarship-programme/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"Canon Collins Thekgo Bursary for Outstanding Debt South Africa 2023","Arts; Education","CANON COLLINS","26 April 2023","mailto:thekgo@canoncollins.org.uk | https://canoncollins.ams3.digitaloceanspaces.com/media/2023/03/07134614/Thekgo_Bursary-Application-Form.pdf | https://canoncollins.ams3.digitaloceanspaces.com/media/2023/03/07134549/Canon-Collins-Thekgo-Bursary-guidelines-2023.pdf | mailto: thekgo@canoncollins.org.uk","https://canoncollins.ams3.digitaloceanspaces.com/media/2023/03/07134614/Thekgo_Bursary-Application-Form.pdf","https://www.zabursaries.co.za/general-bursaries-south-africa/canon-collins-thekgo-bursary/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"Nelson Mandela Children’s Hospital Bursary South Africa 2021 - 2022","Arts","Nelson Mandela Children’s Hospital Bursary South Africa 2021 - 2022","","mailto:bursarydocuments@nmch.co.za | https://www.nelsonmandelachildrenshospital.org/baform/","https://www.nelsonmandelachildrenshospital.org/baform/","https://www.zabursaries.co.za/medical-bursaries-south-africa/nelson-mandela-childrens-hospital-bursary/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"Cape Wools SA Bursary South Africa 2026","Arts","CAPE WOOLS SA","31 October 2025","mailto:bursaries@capewools.co.za | https://www.capewools.co.za/assets/bursary/bursarypoliciesapplicationform2026.pdf | mailto: bursaries@capewools.co.za","https://www.capewools.co.za/assets/bursary/bursarypoliciesapplicationform2026.pdf","https://www.zabursaries.co.za/science-bursaries-south-africa/cape-wools-sa-bursary-fund/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"Department of Correctional Services Bursary South Africa 2022 - 2023","Arts; Education","DEPARTMENT OF CORRECTIONAL SERVICES (DCS)","14 October 2022","https://www.zabursaries.co.za/government-bursaries-south-africa/department-of-correctional-services-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/department-of-correctional-services-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/department-of-correctional-services-bursary/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"FEDISA Fashion School Bursary South Africa 2021 - 2022","Arts","FEDISA Fashion School Bursary South Africa 2021 - 2022","15 August 2021","https://www.fedisa.co.za/","https://www.fedisa.co.za/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/fedisa-fashion-school-bursary/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"Gert-Johan Coetzee Bursary South Africa 2026","Arts","JOHAN COETZEE","1 September 2025","https://nwsd.co.za/online-application/","https://nwsd.co.za/online-application/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/gert-johan-coetzee-bursary/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"KwaZulu-Natal Department of Sport, Arts and Culture Bursary South Africa 2024","Arts","KZN DSAC","","https://www.zabursaries.co.za/government-bursaries-south-africa/kzn-department-of-sport-arts-and-culture-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/kzn-department-of-sport-arts-and-culture-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/kzn-department-of-sport-arts-and-culture-bursary/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"The Foschini Group Bursary South Africa 2021 - 2022","Arts","The Foschini Group Bursary South Africa 2021 - 2022","","https://www.fedisa.co.za/tfg-bursary-application/ | https://www.tfgclub.co.za/bursaries/","https://www.fedisa.co.za/tfg-bursary-application/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/the-foschini-group-bursary/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"Truworths Bursary South Africa 2021 - 2022","Arts","Truworths Bursary South Africa 2021 - 2022","30 September 2017","https://careers.truworths.co.za/","https://careers.truworths.co.za/","https://www.zabursaries.co.za/general-bursaries-south-africa/truworths-bursary/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"W&RSETA Bursary South Africa 2021 - 2022","Arts; General","W&RSETA Bursary South Africa 2021 - 2022","28 February 2018","mailto:Bursaries2018@wrseta.org.za | https://indicium.wrseta.org.za/WRSETAIndicium/Pages/OnlineRegistration/OnlineBursaryRegistration.aspx","https://indicium.wrseta.org.za/WRSETAIndicium/Pages/OnlineRegistration/OnlineBursaryRegistration.aspx","https://www.zabursaries.co.za/general-bursaries-south-africa/wrseta-bursary/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"eMedia Bursary South Africa 2025","Arts","EMEDIA","","https://etv.mcidirecthire.com/External/Job","https://etv.mcidirecthire.com/External/Job","https://www.zabursaries.co.za/general-bursaries-south-africa/emedia-bursary/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"Film School Africa (FSA) Bursary South Africa 2022 - 2023","Arts","FILM SCHOOL AFRICA (FSA)","15 September 2022","mailto:applications@filmschoolafrica.org | https://www.filmschoolafrica.org/applications/bursary-application | https://www.filmschoolafrica.org/forms/online-application-form","https://www.filmschoolafrica.org/applications/bursary-application","https://www.zabursaries.co.za/universities/film-school-africa-fsa-bursary/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"Gauteng Film Commission (GFC) Bursary South Africa 2021 - 2022","Arts","Gauteng Film Commission (GFC) Bursary South Africa 2021 - 2022","15 March 2021","https://www.gautengfilm.org.za/industry-development/project-support","https://www.gautengfilm.org.za/industry-development/project-support","https://www.zabursaries.co.za/government-bursaries-south-africa/gauteng-film-commission-gfc-bursary/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"KZN Tourism and Film Authority Bursary South Africa 2026","Arts","KZN TOURISM AND FILM AUTHORITY","31 October 2025","https://bursary.visitkzn-sa.com/","https://bursary.visitkzn-sa.com/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/kwazulu-natal-film-commission-bursary/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"Netflix Scholarship South Africa 2022 - 2023","Arts","Netflix Scholarship South Africa 2022 - 2023","4 February 2022","https://www.cognitoforms.com/TshikululuSocialInvestments/NetflixCreativeEquityScholarshipFundApplicationForm","https://www.cognitoforms.com/TshikululuSocialInvestments/NetflixCreativeEquityScholarshipFundApplicationForm","https://www.zabursaries.co.za/mba-postgraduate/netflix-scholarship/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"NFVF Bursary South Africa 2026","Arts","NFVF","31 July 2025","https://nfvf.praxisgms.co.za/ | https://nfvf.praxisgms.co.za/xaLogin/NFVF/reglogin.aspx","https://nfvf.praxisgms.co.za/","https://www.zabursaries.co.za/government-bursaries-south-africa/nfvf-bursary/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"NFVF International Bursary South Africa 2026","Arts; International","NFVF","9 March 2026","https://nfvf.praxisgms.co.za/ | https://nfvf.praxisgms.co.za/xaLogin/NFVF/reglogin.aspx","https://nfvf.praxisgms.co.za/","https://www.zabursaries.co.za/international-scholarships-bursaries-south-africa/nfvf-international-bursary/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"Dudley D’Ewes Scholarship South Africa 2026","Arts","Dudley D’Ewes Scholarship South Africa 2026","","mailto:info@khulacapefoundation.org.za | https://www.khulacapefoundation.org.za/printables/word/dudley-dewes-scholarship-application.doc | mailto: info@khulacapefoundation.org.za","https://www.khulacapefoundation.org.za/printables/word/dudley-dewes-scholarship-application.doc","https://www.zabursaries.co.za/mba-postgraduate/dudley-dewes-scholarship/","https://www.zabursaries.co.za/music-and-performing-arts-bursaries-south-africa/"
"Limpopo Department of Public Works Bursary South Africa 2025","Commerce; Construction & Built Environment","LIMPOPO DEPARTMENT OF PUBLIC WORKS","15 November 2024","https://www.zabursaries.co.za/government-bursaries-south-africa/limpopo-provincial-government-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/limpopo-provincial-government-bursary/","https://www.zabursaries.co.za/government-bursaries-south-africa/limpopo-provincial-government-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"ABSA BMI Bursary South Africa 2021 - 2022","Commerce; Science","ABSA BMI Bursary South Africa 2021 - 2022","30 September 2021","https://leap.ly/opportunities/514","https://leap.ly/opportunities/514","https://www.zabursaries.co.za/general-bursaries-south-africa/absa-bank-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"ABSIP Bursary South Africa 2025","Commerce","ABSIP","17 January 2025","https://docs.google.com/forms/d/e/1FAIpQLSdr396eUEScF6bYKhGPuz7Fkd8ns8o5gGj42A0dGkRh4p2NjQ/viewform","https://docs.google.com/forms/d/e/1FAIpQLSdr396eUEScF6bYKhGPuz7Fkd8ns8o5gGj42A0dGkRh4p2NjQ/viewform","https://www.zabursaries.co.za/commerce-bursaries-south-africa/absip-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"Access Trust Bursary South Africa 2021 - 2022","Commerce; Education; General","Access Trust Bursary South Africa 2021 - 2022","","mailto:info@accesstrust.org.za","https://www.zabursaries.co.za/general-bursaries-south-africa/access-trust-bursary/","https://www.zabursaries.co.za/general-bursaries-south-africa/access-trust-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"Adapt IT Bursary South Africa 2024","Commerce","ADAPT IT","8 February 2024","https://bsp.fundi.co.za/Home","https://bsp.fundi.co.za/Home","https://www.zabursaries.co.za/commerce-bursaries-south-africa/adapt-it-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"BANKSETA / UKZN Outstanding Student Debt Fund South Africa 2022 - 2023","Commerce; Postgraduate","BANKSETA / UKZN Outstanding Student Debt Fund South Africa 2022 - 2023","20 January 2022","https://forms.gle/St5NkQZY3MR5to6G6","https://forms.gle/St5NkQZY3MR5to6G6","https://www.zabursaries.co.za/universities/bankseta-ukzn-outstanding-student-debt-fund/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"BCE Foodservice Equipment Bursary South Africa 2025","Commerce","BCE","15 January 2025","mailto:bursary@bce.co.za | mailto: bursary@bce.co.za","https://www.zabursaries.co.za/commerce-bursaries-south-africa/bce-foodservice-equipment-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/bce-foodservice-equipment-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"Bester Bursary & Graduate Development Programme South Africa 2026","Commerce","BESTER","","https://www.zabursaries.co.za/science-bursaries-south-africa/bester-bursary-graduate-development-programme/","https://www.zabursaries.co.za/science-bursaries-south-africa/bester-bursary-graduate-development-programme/","https://www.zabursaries.co.za/science-bursaries-south-africa/bester-bursary-graduate-development-programme/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"Capitec Bursary South Africa 2026","Commerce; Engineering; Science","CAPITEC","","https://capitecbursary.auraams.app/Home/Index | https://drive.google.com/uc","https://capitecbursary.auraams.app/Home/Index","https://www.zabursaries.co.za/general-bursaries-south-africa/capitec-bank-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"Cipla Bursary South Africa 2026","Commerce","CIPLA","17 February 2026","https://ciplasouthafrica.turbohire.co/job/publicjobs/upaPliua2%2Fm_ruo5BXJJUfdjuQAjB0vQtSymoM4xx_6VLLooJemI4b96pTwUeBw_","https://ciplasouthafrica.turbohire.co/job/publicjobs/upaPliua2%2Fm_ruo5BXJJUfdjuQAjB0vQtSymoM4xx_6VLLooJemI4b96pTwUeBw_","https://www.zabursaries.co.za/general-bursaries-south-africa/cipla-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"Donald White/ Mandla A. Ndwanya Memorial Fund Bursary South Africa 2026","Commerce; Education","DONALD WHITE/ MANDLA A. NDWANYA MEMORIAL FUND","28 November 2025","mailto:secretary@whitendwanyamemorialfund.org | mailto: secretary@whitendwanyamemorialfund.org","https://www.zabursaries.co.za/commerce-bursaries-south-africa/donald-white-mandla-a-ndwanya-memorial-fund-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/donald-white-mandla-a-ndwanya-memorial-fund-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
"Education Empowerment and Development Fund (EEDF) Bursary South Africa 2024","Commerce; Engineering; Law; Science","EEDF","1 November 2023","https://docs.google.com/forms/d/e/1FAIpQLScbmTR5pjpgQ0rLDzznc8c24OoNtuIohvc_EKDHtGPHkYyreQ/viewform | https://www.sassagrants.co.za/","https://docs.google.com/forms/d/e/1FAIpQLScbmTR5pjpgQ0rLDzznc8c24OoNtuIohvc_EKDHtGPHkYyreQ/viewform","https://www.zabursaries.co.za/general-bursaries-south-africa/education-empowerment-and-development-fund-eedf-bursary/","https://www.zabursaries.co.za/commerce-bursaries-south-africa/"
